Order Date,Quantity,Sales,Discount,Profit
2014-01-06 0:00,9,2573.82,0.0,746.4078
2014-01-07 0:00,3,76.728,0.6,-53.7096
2014-01-10 0:00,1,51.94,0.0,21.2954
2014-01-11 0:00,2,9.94,0.0,3.0814
2014-01-13 0:00,9,439.96950000000004,0.075,45.6399
2014-01-14 0:00,4,61.96,0.5,-53.2856
2014-01-16 0:00,6,127.104,0.2,28.5984
2014-01-19 0:00,5,181.47,0.7,-320.597
2014-01-20 0:00,15,282.702,0.0,55.30434
2014-01-21 0:00,3,25.248,0.2,4.1028
2014-01-26 0:00,8,72.4,0.0,25.000600000000002
2014-01-27 0:00,3,333.0,0.2,-16.65
2014-01-31 0:00,2,290.666,0.15,3.4196
2014-02-08 0:00,2,14.56,0.0,5.5328
2014-02-11 0:00,10,550.0166666666668,0.0,47.95536666666666
2014-02-12 0:00,2,129.568,0.2,-24.294
2014-02-18 0:00,5,25.16,0.6,-11.322
2014-02-20 0:00,4,20.32,0.0,6.9088
2014-03-01 0:00,23,378.799,0.33999999999999997,-39.7248
2014-03-03 0:00,8,464.40099999999995,0.35,-111.5526
2014-03-07 0:00,9,322.328,0.20000000000000004,27.1639
2014-03-11 0:00,5,8.32,0.2,2.288
2014-03-14 0:00,4,1139.92,0.0,284.98
2014-03-15 0:00,3,45.696,0.2,5.1408
2014-03-17 0:00,14,1088.41,0.4000000000000001,-374.67463333333336
2014-03-18 0:00,17,365.61249999999995,0.1375,27.07265
2014-03-19 0:00,6,12.504,0.2,3.4386
2014-03-21 0:00,6,125.664,0.2,-2.1641999999999997
2014-03-22 0:00,3,314.352,0.2,-35.3646
2014-03-24 0:00,2,40.48,0.0,14.5728
2014-03-25 0:00,7,366.786,0.1,65.2064
2014-03-28 0:00,5,757.654,0.2,-18.314999999999998
2014-03-29 0:00,3,890.841,0.3,-152.7156
2014-03-30 0:00,9,166.484,0.22499999999999998,-10.595500000000001
2014-03-31 0:00,7,1125.488,0.2,98.4802
2014-04-02 0:00,2,177.68,0.0,46.1968
2014-04-04 0:00,1,5.47,0.0,2.3521
2014-04-06 0:00,15,233.346,0.1,25.8845
2014-04-07 0:00,2,8.96,0.0,2.7776
2014-04-08 0:00,10,495.8740000000001,0.20000000000000004,74.65616666666666
2014-04-12 0:00,3,308.499,0.15,-18.147
2014-04-15 0:00,4,187.76,0.0,76.9816
2014-04-18 0:00,3,317.058,0.3,-18.1176
2014-04-19 0:00,3,76.14,0.0,26.649
2014-04-20 0:00,11,401.86999999999995,0.19999999999999998,-66.68593333333334
2014-04-23 0:00,8,195.02666666666667,0.26666666666666666,-5.433333333333334
2014-04-25 0:00,10,895.145,0.1,106.19325
2014-04-26 0:00,3,230.28,0.2,23.028
2014-04-29 0:00,6,210.33466666666666,0.06666666666666667,29.708133333333333
2014-05-04 0:00,9,19.82,0.0,6.8916
2014-05-05 0:00,3,127.869,0.3,-9.1335
2014-05-07 0:00,6,533.2850000000001,0.15,102.6998
2014-05-10 0:00,8,303.3745,0.35,-92.44014999999999
2014-05-11 0:00,12,639.5360000000001,0.44999999999999996,-76.8024
2014-05-12 0:00,10,367.423,0.15,-59.612750000000005
2014-05-13 0:00,6,279.456,0.2,20.9592
2014-05-14 0:00,2,310.88,0.2,23.316
2014-05-16 0:00,5,232.88,0.2,17.466
2014-05-18 0:00,3,149.232,0.2,3.7308
2014-05-20 0:00,10,75.096,0.3,27.09945
2014-05-21 0:00,2,107.772,0.3,-29.2524
2014-05-25 0:00,2,29.32,0.6,-24.189
2014-05-26 0:00,6,291.9113333333333,0.21666666666666667,14.915599999999998
2014-05-27 0:00,10,567.12,0.2,-28.356
2014-05-30 0:00,3,355.455,0.5,-184.8366
2014-06-01 0:00,13,1012.03,0.0,294.8207
2014-06-02 0:00,6,73.32,0.0,21.996
2014-06-03 0:00,13,288.712,0.3,36.745000000000005
2014-06-04 0:00,6,141.49599999999998,0.06666666666666667,-5.473333333333333
2014-06-06 0:00,3,991.764,0.4,-347.1174
2014-06-07 0:00,3,268.935,0.5,-209.7693
2014-06-08 0:00,6,377.952,0.2,41.920500000000004
2014-06-09 0:00,25,808.436,0.05,89.6779
2014-06-14 0:00,3,212.94,0.0,57.4938
2014-06-15 0:00,6,448.931,0.3,-37.7761
2014-06-16 0:00,8,647.84,0.0,32.392
2014-06-17 0:00,3,6.24,0.0,2.6208
